timestamp,valor
1748355735.3620772,"ID: 2094 | Temperatura: 26.30 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.077, -0.138, 0.905 | Gyro [X,Y,Z] (°/s): -1.07, -2.15, ovf"
1748355736.4903357,"ID: 2095 | Temperatura: 26.30 C | Pressao: 1018.89 hPa | Accel [X,Y,Z]: -0.080, -0.138, 0.914 | Gyro [X,Y,Z] (°/s): -0.85, -2.18, ovf"
1748355737.6193461,"ID: 2096 | Temperatura: 26.30 C | Pressao: 1018.93 hPa | Accel [X,Y,Z]: -0.079, -0.137, 0.918 | Gyro [X,Y,Z] (°/s): -0.89, -2.04, ovf"
1748355738.7494035,"ID: 2097 | Temperatura: 26.30 C | Pressao: 1018.84 hPa | Accel [X,Y,Z]: -0.075, -0.136, 0.912 | Gyro [X,Y,Z] (°/s): -0.98, -2.02, ovf"
1748355739.8774922,"ID: 2098 | Temperatura: 26.30 C | Pressao: 1018.85 hPa | Accel [X,Y,Z]: -0.078, -0.134, 0.917 | Gyro [X,Y,Z] (°/s): -0.81, -2.12, ovf"
1748355741.0058255,"ID: 2099 | Temperatura: 26.30 C | Pressao: 1018.92 hPa | Accel [X,Y,Z]: -0.082, -0.137, 0.921 | Gyro [X,Y,Z] (°/s): -1.02, -2.18, ovf"
1748355742.1359673,"ID: 2100 | Temperatura: 26.30 C | Pressao: 1018.88 hPa | Accel [X,Y,Z]: -0.079, -0.137, 0.922 | Gyro [X,Y,Z] (°/s): -0.95, -2.13, ovf"
1748355743.2654886,"ID: 2101 | Temperatura: 26.20 C | Pressao: 1018.87 hPa | Accel [X,Y,Z]: -0.084, -0.135, 0.910 | Gyro [X,Y,Z] (°/s): -0.93, -2.11, ovf"
1748355744.3927517,"ID: 2102 | Temperatura: 26.20 C | Pressao: 1018.87 hPa | Accel [X,Y,Z]: -0.079, -0.136, 0.923 | Gyro [X,Y,Z] (°/s): -0.98, -2.14, ovf"
1748355745.5226321,"ID: 2103 | Temperatura: 26.20 C | Pressao: 1018.91 hPa | Accel [X,Y,Z]: -0.083, -0.138, 0.919 | Gyro [X,Y,Z] (°/s): -0.99, -2.34, ovf"
1748355746.6504936,"ID: 2104 | Temperatura: 26.20 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.079, -0.140, 0.911 | Gyro [X,Y,Z] (°/s): -0.92, -2.25, ovf"
1748355747.780755,"ID: 2105 | Temperatura: 26.20 C | Pressao: 1018.84 hPa | Accel [X,Y,Z]: -0.076, -0.134, 0.914 | Gyro [X,Y,Z] (°/s): -0.82, -2.14, ovf"
1748355748.909294,"ID: 2106 | Temperatura: 26.20 C | Pressao: 1018.88 hPa | Accel [X,Y,Z]: -0.079, -0.138, 0.913 | Gyro [X,Y,Z] (°/s): -0.91, -2.17, ovf"
1748355750.0375617,"ID: 2107 | Temperatura: 26.20 C | Pressao: 1018.91 hPa | Accel [X,Y,Z]: -0.081, -0.139, 0.910 | Gyro [X,Y,Z] (°/s): -1.07, -2.15, ovf"
1748355751.1650157,"ID: 2108 | Temperatura: 26.20 C | Pressao: 1018.88 hPa | Accel [X,Y,Z]: -0.080, -0.135, 0.917 | Gyro [X,Y,Z] (°/s): -1.15, -2.16, ovf"
1748355752.2942414,"ID: 2109 | Temperatura: 26.30 C | Pressao: 1018.91 hPa | Accel [X,Y,Z]: -0.081, -0.141, 0.913 | Gyro [X,Y,Z] (°/s): -0.98, -2.08, ovf"
1748355753.424872,"ID: 2110 | Temperatura: 26.20 C | Pressao: 1018.91 hPa | Accel [X,Y,Z]: -0.078, -0.140, 0.912 | Gyro [X,Y,Z] (°/s): -1.02, -2.35, ovf"
1748355754.5533142,"ID: 2111 | Temperatura: 26.30 C | Pressao: 1018.96 hPa | Accel [X,Y,Z]: -0.081, -0.141, 0.921 | Gyro [X,Y,Z] (°/s): -0.92, -2.15, ovf"
1748355755.681847,"ID: 2112 | Temperatura: 26.30 C | Pressao: 1018.91 hPa | Accel [X,Y,Z]: -0.081, -0.137, 0.908 | Gyro [X,Y,Z] (°/s): -0.78, -2.20, ovf"
1748355756.8131428,"ID: 2113 | Temperatura: 26.20 C | Pressao: 1018.89 hPa | Accel [X,Y,Z]: -0.081, -0.145, 0.910 | Gyro [X,Y,Z] (°/s): -0.98, -2.25, ovf"
1748355757.9435391,"ID: 2114 | Temperatura: 26.30 C | Pressao: 1018.87 hPa | Accel [X,Y,Z]: -0.082, -0.136, 0.918 | Gyro [X,Y,Z] (°/s): -1.00, -2.31, ovf"
1748355759.0714037,"ID: 2115 | Temperatura: 26.30 C | Pressao: 1018.85 hPa | Accel [X,Y,Z]: -0.087, -0.139, 0.921 | Gyro [X,Y,Z] (°/s): -0.89, -2.07, ovf"
1748355760.201354,"ID: 2116 | Temperatura: 26.30 C | Pressao: 1018.85 hPa | Accel [X,Y,Z]: -0.081, -0.141, 0.907 | Gyro [X,Y,Z] (°/s): -1.01, -2.26, ovf"
1748355761.329836,"ID: 2117 | Temperatura: 26.20 C | Pressao: 1018.89 hPa | Accel [X,Y,Z]: -0.084, -0.139, 0.910 | Gyro [X,Y,Z] (°/s): -1.01, -2.13, ovf"
1748355762.4600275,"ID: 2118 | Temperatura: 26.20 C | Pressao: 1018.88 hPa | Accel [X,Y,Z]: -0.085, -0.140, 0.913 | Gyro [X,Y,Z] (°/s): -0.78, -2.15, ovf"
1748355763.5894303,"ID: 2119 | Temperatura: 26.20 C | Pressao: 1018.92 hPa | Accel [X,Y,Z]: -0.078, -0.135, 0.905 | Gyro [X,Y,Z] (°/s): -1.04, -2.13, ovf"
1748355764.7173998,"ID: 2120 | Temperatura: 26.20 C | Pressao: 1018.84 hPa | Accel [X,Y,Z]: -0.085, -0.136, 0.911 | Gyro [X,Y,Z] (°/s): -1.00, -2.23, ovf"
1748355765.8473547,"ID: 2121 | Temperatura: 26.20 C | Pressao: 1018.79 hPa | Accel [X,Y,Z]: -0.081, -0.141, 0.914 | Gyro [X,Y,Z] (°/s): -1.01, -2.19, ovf"
1748355766.9761477,"ID: 2122 | Temperatura: 26.20 C | Pressao: 1018.90 hPa | Accel [X,Y,Z]: -0.078, -0.138, 0.914 | Gyro [X,Y,Z] (°/s): -0.98, -2.21, ovf"
1748355768.106141,"ID: 2123 | Temperatura: 26.20 C | Pressao: 1018.90 hPa | Accel [X,Y,Z]: -0.075, -0.136, 0.917 | Gyro [X,Y,Z] (°/s): -0.78, -2.34, ovf"
1748355769.2339785,"ID: 2124 | Temperatura: 26.20 C | Pressao: 1018.92 hPa | Accel [X,Y,Z]: -0.073, -0.140, 0.915 | Gyro [X,Y,Z] (°/s): -0.98, -2.24, ovf"
1748355770.362693,"ID: 2125 | Temperatura: 26.20 C | Pressao: 1018.85 hPa | Accel [X,Y,Z]: -0.082, -0.139, 0.907 | Gyro [X,Y,Z] (°/s): -0.82, -2.02, ovf"
1748355771.490923,"ID: 2126 | Temperatura: 26.20 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.076, -0.136, 0.919 | Gyro [X,Y,Z] (°/s): -0.91, -2.21, ovf"
